co1o7 40 210 o1 o7
co2o8 120 130 o2 o8
co3o9 40 50 o3 o9
co4o10 120 130 o4 o10
co5o11 40 50 o5 o11
co6o12 200 210 o6 o12
o1 0 0 40 50 d3
o2 80 80 120 10000 d2
o3 0 0 40 80 d2
o4 80 80 120 10000 d1
o5 0 0 40 80 d1
o6 50 50 90 260 d3
o7 200 210 280 280 d5
o8 120 130 200 200 d5
o9 40 50 120 120 d5
o10 120 130 200 200 d4
o11 40 50 120 120 d4
o12 200 210 280 280 d4
